name,source_url,resolved_url,file,status,error
league_mlb,https://a.espncdn.com/combiner/i?img=/i/teamlogos/leagues/500/mlb.png&w=400&h=400&transparent=true,https://a.espncdn.com/combiner/i?img=/i/teamlogos/leagues/500/mlb.png&w=400&h=400&transparent=true,assets\logos\png\league_mlb.png,ok,
league_dsl,https://brandeps.com/logo/D/Dominican-Summer-League-01?utm_source=chatgpt.com,https://brandeps.com/logo-download/D/Dominican-Summer-League-logo-01.png,assets\logos\png\league_dsl.png,ok,
org_ATH,https://a.espncdn.com/i/teamlogos/mlb/500/oak.png,https://a.espncdn.com/i/teamlogos/mlb/500/oak.png,assets\logos\png\org_ATH.png,ok,
org_ATL,https://a.espncdn.com/i/teamlogos/mlb/500/atl.png,https://a.espncdn.com/i/teamlogos/mlb/500/atl.png,assets\logos\png\org_ATL.png,ok,
org_AZ,https://a.espncdn.com/i/teamlogos/mlb/500/ari.png,https://a.espncdn.com/i/teamlogos/mlb/500/ari.png,assets\logos\png\org_AZ.png,ok,
org_BAL,https://a.espncdn.com/i/teamlogos/mlb/500/bal.png,https://a.espncdn.com/i/teamlogos/mlb/500/bal.png,assets\logos\png\org_BAL.png,ok,
org_BOS,https://a.espncdn.com/i/teamlogos/mlb/500/bos.png,https://a.espncdn.com/i/teamlogos/mlb/500/bos.png,assets\logos\png\org_BOS.png,ok,
org_CHC,https://a.espncdn.com/i/teamlogos/mlb/500/chc.png,https://a.espncdn.com/i/teamlogos/mlb/500/chc.png,assets\logos\png\org_CHC.png,ok,
org_CIN,https://a.espncdn.com/i/teamlogos/mlb/500/cin.png,https://a.espncdn.com/i/teamlogos/mlb/500/cin.png,assets\logos\png\org_CIN.png,ok,
org_CLE,https://a.espncdn.com/i/teamlogos/mlb/500/cle.png,https://a.espncdn.com/i/teamlogos/mlb/500/cle.png,assets\logos\png\org_CLE.png,ok,
org_COL,https://a.espncdn.com/i/teamlogos/mlb/500/col.png,https://a.espncdn.com/i/teamlogos/mlb/500/col.png,assets\logos\png\org_COL.png,ok,
org_CWS,https://a.espncdn.com/i/teamlogos/mlb/500/cws.png,https://a.espncdn.com/i/teamlogos/mlb/500/cws.png,assets\logos\png\org_CWS.png,ok,
org_DET,https://a.espncdn.com/i/teamlogos/mlb/500/det.png,https://a.espncdn.com/i/teamlogos/mlb/500/det.png,assets\logos\png\org_DET.png,ok,
org_HOU,https://a.espncdn.com/i/teamlogos/mlb/500/hou.png,https://a.espncdn.com/i/teamlogos/mlb/500/hou.png,assets\logos\png\org_HOU.png,ok,
org_KC,https://a.espncdn.com/i/teamlogos/mlb/500/kc.png,https://a.espncdn.com/i/teamlogos/mlb/500/kc.png,assets\logos\png\org_KC.png,ok,
org_LAA,https://a.espncdn.com/i/teamlogos/mlb/500/laa.png,https://a.espncdn.com/i/teamlogos/mlb/500/laa.png,assets\logos\png\org_LAA.png,ok,
org_LAD,https://a.espncdn.com/i/teamlogos/mlb/500/lad.png,https://a.espncdn.com/i/teamlogos/mlb/500/lad.png,assets\logos\png\org_LAD.png,ok,
org_MIA,https://a.espncdn.com/i/teamlogos/mlb/500/mia.png,https://a.espncdn.com/i/teamlogos/mlb/500/mia.png,assets\logos\png\org_MIA.png,ok,
org_MIL,https://a.espncdn.com/i/teamlogos/mlb/500/mil.png,https://a.espncdn.com/i/teamlogos/mlb/500/mil.png,assets\logos\png\org_MIL.png,ok,
org_MIN,https://a.espncdn.com/i/teamlogos/mlb/500/min.png,https://a.espncdn.com/i/teamlogos/mlb/500/min.png,assets\logos\png\org_MIN.png,ok,
org_NYM,https://a.espncdn.com/i/teamlogos/mlb/500/nym.png,https://a.espncdn.com/i/teamlogos/mlb/500/nym.png,assets\logos\png\org_NYM.png,ok,
org_NYY,https://a.espncdn.com/i/teamlogos/mlb/500/nyy.png,https://a.espncdn.com/i/teamlogos/mlb/500/nyy.png,assets\logos\png\org_NYY.png,ok,
org_PHI,https://a.espncdn.com/i/teamlogos/mlb/500/phi.png,https://a.espncdn.com/i/teamlogos/mlb/500/phi.png,assets\logos\png\org_PHI.png,ok,
org_PIT,https://a.espncdn.com/i/teamlogos/mlb/500/pit.png,https://a.espncdn.com/i/teamlogos/mlb/500/pit.png,assets\logos\png\org_PIT.png,ok,
org_SD,https://a.espncdn.com/i/teamlogos/mlb/500/sd.png,https://a.espncdn.com/i/teamlogos/mlb/500/sd.png,assets\logos\png\org_SD.png,ok,
org_SEA,https://a.espncdn.com/i/teamlogos/mlb/500/sea.png,https://a.espncdn.com/i/teamlogos/mlb/500/sea.png,assets\logos\png\org_SEA.png,ok,
org_SF,https://a.espncdn.com/i/teamlogos/mlb/500/sf.png,https://a.espncdn.com/i/teamlogos/mlb/500/sf.png,assets\logos\png\org_SF.png,ok,
org_STL,https://a.espncdn.com/i/teamlogos/mlb/500/stl.png,https://a.espncdn.com/i/teamlogos/mlb/500/stl.png,assets\logos\png\org_STL.png,ok,
org_TB,https://a.espncdn.com/i/teamlogos/mlb/500/tam.png,https://a.espncdn.com/i/teamlogos/mlb/500/tam.png,assets\logos\png\org_TB.png,ok,
org_TEX,https://a.espncdn.com/i/teamlogos/mlb/500/tex.png,https://a.espncdn.com/i/teamlogos/mlb/500/tex.png,assets\logos\png\org_TEX.png,ok,
org_TOR,https://a.espncdn.com/i/teamlogos/mlb/500/tor.png,https://a.espncdn.com/i/teamlogos/mlb/500/tor.png,assets\logos\png\org_TOR.png,ok,
org_WSH,https://a.espncdn.com/i/teamlogos/mlb/500/wsh.png,https://a.espncdn.com/i/teamlogos/mlb/500/wsh.png,assets\logos\png\org_WSH.png,ok,
